Name,Best,Iteration,Worst,std_results,Mean,E best,E worst,E mean,std_e
BUR26A,5426670,37160,5439927,4129.605006669659,5435188.2,0.0,0.0024429346173620286,0.0015696919105086889,0.0007609832561533424
BUR26B,3817948,39544,3828564,3394.6847161735395,3825239.9,2.5145029194426604e-05,0.002805766174278102,0.0019350933456823121,0.0008891608988964316
BUR26C,5427419,29045,5441709,5806.980310128683,5432192.1,0.00011498499574795068,0.002748215106706629,0.000994528077806445,0.0010700570613278526
BUR26D,3821555,25380,3838163,5669.503486980928,3825891.7,8.635974065908184e-05,0.004432609961465237,0.0012212575810113737,0.001483687426671009
BUR26E,5386879,30287,5399233,4386.913235218282,5389974.2,0.0,0.0022933501940548507,0.0005745813113678971,0.0008143701084093928
BUR26F,3782082,22756,3805494,7882.5751263290995,3787174.2,1.0047476972769223e-05,0.006200350921353639,0.0013564622727816457,0.0020842103175767127
BUR26G,10118598,29021,10121607,878.6395354941259,10120150.1,0.00014094847848786202,0.000438363605956289,0.00029436091429498555,8.684635741036388e-05
BUR26H,7098905,24898,7101995,876.7056011633044,7100037.4,3.479530919787937e-05,0.00047008885341426505,0.00019431841905897883,0.00012350300594327895
CHR22A,6556,28565,6972,127.8756340268848,6824.8,0.0649772579597141,0.13255360623781676,0.108641975308642,0.020772520147317217
ESC32C,642,14791,646,1.2649110640673518,642.4,0.0,0.006230529595015576,0.0006230529595015222,0.00197026645493357
ESC32D,200,15451,218,5.660781257427675,208.6,0.0,0.09,0.04299999999999997,0.028303906287138376
ESC32E,2,11397,2,0.0,2.0,0.0,0.0,0.0,0.0
ESC32G,6,10905,6,0.0,6.0,0.0,0.0,0.0,0.0
ESC32H,438,15085,448,3.533962208186286,442.6,0.0,0.0228310502283105,0.010502283105022882,0.008068406868005218
KRA30A,91400,31833,95660,1407.1646038122983,94077.0,0.0281214848143982,0.07604049493813274,0.058233970753655794,0.015828623214986483
KRA30B,91760,31672,97020,1676.3521905216298,94553.0,0.0037190986654998905,0.06125574272588055,0.034270400350032815,0.018336821160814153
LIPA30A,13402,28618,13455,18.032070196057788,13422.4,0.016998027014721504,0.02101988162088329,0.0185460616178479,0.001368346501446182
LIPA30B,173813,30447,178432,1239.7617378620243,176932.5,0.14784118975605245,0.17834453792611574,0.1684420112794368,0.008187244844756018
LIPA40A,31976,34133,32067,28.90136482744178,32016.2,0.01388800811719196,0.01677341619633458,0.015162660916989052,0.0009163981491357022
LIPA40B,556712,33333,572544,4190.907804070882,565529.0,0.16813721067352663,0.20135716698735368,0.18663773839074574,0.008793694679542163
LIPA50A,62867,35713,62953,29.42051438480753,62909.3,0.01246517320793004,0.0138501924532556,0.013146409418130915,0.00047381370500390564
LIPA50B,1431676,28480,1447880,5345.154279033175,1441261.6,0.18296475751997118,0.196353793119404,0.19088514382223756,0.004416592256630208
LIPA60A,108271,44377,108538,80.81006537967079,108444.6,0.009821112126695144,0.012311365628905594,0.011440243242739147,0.0007536986828673431
LIPA60B,3030652,30878,3048673,6497.232837481233,3038475.9,0.20257525886510047,0.20972606626232324,0.20567981477182767,0.002578128884953079
SKO42,16146,32309,16630,138.39540775939383,16383.8,0.02112319757146471,0.05173286111813812,0.03616240829749553,0.008752555512230828
SKO49,23834,29721,24634,233.41103468154864,24081.6,0.01915676045497306,0.053365261267424954,0.02974429145642686,0.009980801961923743
SKO56,35094,46014,35938,257.45558408738736,35400.4,0.018457252307156537,0.042950838702188174,0.02734923675198797,0.007471576530483121
THO30,151102,57021,155944,1637.6099793432027,153705.0,0.007776651371251734,0.04007043005015473,0.025137391953900332,0.010922059941196261
THO40,245320,50641,253264,2472.801569071,248698.6,0.01997372316186865,0.053002710838364185,0.034021021470505106,0.010281235215416023
WIL50,49298,34120,50190,300.8832183939661,49726.6,0.009873811864962308,0.028146509341199607,0.01865372009177316,0.006163618862544373
CHR22B,6434,42951,7050,167.92604192189953,6684.6,0.03874717468517921,0.13819825637713917,0.07920568291895388,0.02711108200224403
ESC32A,136,63483,162,7.058485830702094,151.4,0.046153846153846156,0.24615384615384617,0.16461538461538466,0.054296044851554565
ESC32B,200,22717,232,9.697651491183029,208.4,0.19047619047619047,0.38095238095238093,0.2404761904761905,0.05772411601894661
ESC32F,2,11015,2,0.0,2.0,0.0,0.0,0.0,0.0
ESC64A,116,22079,118,0.6324555320336758,116.2,0.0,0.017241379310344827,0.0017241379310345072,0.005452202862359274
STE36A,9976,41602,10534,188.39025688418414,10311.0,0.047239134998950244,0.10581566239764854,0.08240604660927986,0.019776428394308643
STE36B,16812,52716,18592,585.1833141085887,17911.8,0.06056018168054504,0.17284885187988897,0.1299394398183194,0.03691542481129123
STE36C,8360290,19004,8964478,179303.13963663758,8645238.0,0.014707899275528546,0.08803960621960381,0.0492927027312416,0.021762440316567877
