E1,E2,E3,E4,E5
0.6871607253708082,0.6913740044642267,0.6891815144030747,0.6873852574855045,0.6763567683224809
0.5987479032662819,0.6594772364059013,0.6480393063278433,0.6443543380925336,0.6845852099375273
0.6326390448139685,0.6511563403906859,0.631423929840318,0.6705585566547356,0.6481185529565596
0.613131166378297,0.6249124985141257,0.6292446475506188,0.6502846274748062,0.6407882398002985
0.6273031051470686,0.6292578553220715,0.6337484976159973,0.6386485808249575,0.6393485927119517
0.6560300080567406,0.6576677717168782,0.6079537199688296,0.6206860116492544,0.6307503334962292
0.6397712413984389,0.6472336322692273,0.6301031526950458,0.6169350045566812,0.6197614676475638
0.6117443503757611,0.6327314992141376,0.6467581524969291,0.6002007581260814,0.6304333469813639
0.6100141323154544,0.6376579979660032,0.6312918521257909,0.6158519672975579,0.6300239060663294
0.6204746873060109,0.6193652345039822,0.6476166576413561,0.6045196993911217,0.606461241794672
