Fitness2,E2,Fitness3,E3,Fitness4,E4,Fitness5,E5
95690,0.04670750382848392,93020,0.017501640778823015,95450,0.044082257711660466,94550,0.03423758477357252
94490,0.03358127324436666,95350,0.04298840516298403,93410,0.021767665718661126,93580,0.02362721505141107
93110,0.018486108072631808,91990,0.006234959527455699,94490,0.03358127324436666,94780,0.036753445635528334
95410,0.043644716692189896,97460,0.06606869394005688,95580,0.045504266024939836,93870,0.02679938744257274
95340,0.042879019908116385,94200,0.030409100853204987,93550,0.023299059286808137,95040,0.03959746226208707
99580,0.08925836797199738,98510,0.07755414570115948,95040,0.03959746226208707,94140,0.029752789323999124
93960,0.027783854736381536,96590,0.056552176766571864,97240,0.06366221833296871,96470,0.05523955370816014
98670,0.07930430977904178,98720,0.07985123605338,98590,0.07842922774010064,97380,0.06519361190111574
97930,0.07120980091883614,95510,0.04473856924086633,96740,0.05819295558958652,94690,0.035768978341719534
96470,0.05523955370816014,96650,0.05720848829577773,98170,0.07383504703565959,97960,0.07153795668343907
97350,0.0648654561365128,94650,0.035331437322248964,97740,0.0691314810763509,100740,0.10194705753664406
100060,0.09450886020564428,98320,0.07547582585867425,101450,0.10971341063224678,99490,0.08827390067818858
99600,0.08947713848173267,100220,0.09625902428352658,100450,0.09877488514548238,96490,0.05545832421789543
97650,0.0681470137825421,101780,0.11332312404287902,99680,0.0903522205206738,98590,0.07842922774010064
96450,0.05502078319842485,100270,0.0968059505578648,95480,0.0444104134762634,97490,0.06639684970465981
